time,power
8467,612.2291
8468,544.1671
8469,519.1281
8470,509.9171
8471,506.5281
8472,505.2821
8473,504.8231
8474,504.6541
8475,504.5921
8476,504.5691
8477,504.5611
8478,504.5581
8479,504.5571
8480,504.5561
8481,504.5561
8482,504.5561
8483,504.5561
8484,504.5561
8485,504.5561
8486,504.5561
8487,504.5561
8488,598.3401
8489,598.3401
8490,598.3401
8491,598.3401
8492,598.3401
8493,598.3401
8494,598.3401
8495,477.3991
8496,477.3991
8497,477.3991
8498,477.3991
8499,477.3991
8500,477.3991
8501,477.3991
8502,477.3991
8503,477.3991
8504,477.3991
8505,477.3991
8506,477.3991
8507,477.3991
8508,477.3991
8509,477.3991
8510,477.3991
8511,477.3991
8512,477.3991
8513,477.3991
8514,477.3991
8515,477.3991
8516,477.3991
8517,799.4161
8518,636.0911
8519,610.5081
8520,781.9381
8521,740.4401
8522,725.1751
8523,719.5591
8524,717.4931
8525,716.7321
8526,716.4531
8527,716.3501
8528,716.3121
8529,716.2981
8530,716.2941
8531,716.2921
8532,716.2901
8533,595.6191
8534,595.6191
8535,595.6191
8536,595.6191
8537,595.6191
8538,595.6191
8539,595.6191
8540,595.6191
8541,595.6191
8542,595.6191
8543,595.6191
8544,595.6191
8545,595.6191
8546,601.913
8547,601.913
8548,601.913
8549,473.295
8550,261.291
8551,261.291
8552,261.291
8553,261.291
8554,261.291
8555,261.291
8556,261.291
8557,261.291
8558,261.291
8559,261.291
8560,261.291
8561,261.291
8562,261.291
8563,429.692
8564,399.707
8565,388.676
8566,384.618
8567,383.125
8568,491.038
8569,490.836
8570,490.761
8571,490.734
8572,490.724
8573,490.72
8574,490.719
8575,490.718
8576,369.753
8577,369.753
8578,369.753
8579,369.753
8580,369.753
8581,369.753
8582,369.753
8583,369.753
8584,369.753
8585,369.753
8586,369.753
8587,369.753
8588,369.753
8589,369.753
8590,369.753
8591,369.753
8592,369.753
8593,369.753
8594,369.753
8595,369.753
8596,369.753
8597,369.753
8598,369.753
8599,369.753
8600,369.753
8601,369.753
8602,369.753
8603,369.753
8604,369.753
8605,369.753
8606,369.753
8607,369.753
8608,369.753
8609,261.291
8610,497.655
8611,423.234
8612,657.694
8613,615.127
8614,599.467
8615,593.706
8616,591.587
8617,590.807
8618,590.521
8619,590.415
8620,590.376
8621,590.362
8622,590.357
8623,590.354
8624,590.354
8625,590.354
8626,471.721
8627,471.721
8628,471.721
8629,471.721
8630,471.721
8631,471.721
8632,471.721
8633,471.721
8634,471.721
8635,471.721
8636,471.721
8637,471.721
8638,471.721
8639,471.721
8640,471.721
8641,471.721
8642,471.721
8643,471.721
8644,471.721
8645,261.291
8646,261.291
8647,261.291
8648,261.291
8649,261.291
8650,261.291
8651,261.291
8652,261.291
8653,261.291
8654,261.291
8655,261.291
8656,261.291
8657,261.291
8658,261.291
8659,261.291
8660,261.291
8661,261.291
8662,427.644
8663,398.882
8664,388.301
8665,384.408
8666,382.977
8667,382.45
8668,382.256
8669,382.185
8670,382.158
8671,382.149
8672,382.145
8673,382.144
8674,382.143
8675,382.143
8676,382.143
8677,261.291
8678,261.291
8679,261.291
8680,261.291
8681,261.291
8682,261.291
8683,261.291
8684,261.291
8685,261.291
8686,261.291
8687,261.291
8688,261.291
8689,261.291
8690,261.291
8691,261.291
8692,261.291
8693,261.291
8694,261.291
8695,261.291
8696,261.291
8697,261.291
8698,261.291
8699,261.291
8700,672.416
8701,545.591
8702,498.935
8703,481.771
8704,475.457
8705,473.134
8706,472.28
8707,471.965
8708,471.85
8709,471.807
8710,672.309
8711,620.21
8712,601.045
8713,593.994
8714,591.4
8715,590.446
8716,590.094
8717,589.965
8718,589.918
8719,589.9
8720,589.894
8721,589.891
8722,589.89
8723,589.89
8724,589.89
8725,589.89
8726,471.782
8727,471.782
8728,471.782
8729,471.782
8730,261.291
8731,261.291
8732,261.291
8733,261.291
8734,261.291
8735,261.291
8736,261.291
8737,261.291
8738,261.291
8739,261.291
8740,261.291
8741,261.291
8742,261.291
8743,261.291
8744,261.291
8745,261.291
8746,261.291
8747,261.291
8748,105.64
8749,105.64
8750,105.64
8751,105.64
8752,105.64
8753,105.64
8754,105.64
8755,105.64
8756,309.48
8757,256.416
8758,236.894
8759,229.713
8760,227.071
8761,226.099
8762,225.742
8763,225.61
8764,225.562
8765,225.544
8766,225.537
8767,225.535
8768,225.534
8769,225.534
8770,225.534
8771,225.534
8772,225.534
8773,105.64
8774,105.64
8775,105.64
8776,105.64
8777,105.64
8778,105.64
8779,105.64
8780,105.64
8781,105.64
8782,105.64
8783,105.64
8784,105.64
8785,105.64
8786,105.64
8787,105.64
8788,105.64
8789,105.64
8790,105.64
8791,105.64
8792,105.64
8793,105.64
8794,105.64
8795,105.64
8796,105.64
8797,105.64
8798,105.64
8799,105.64
8800,105.64
8801,105.64
8802,105.64
8803,510.261
8804,593.847
8805,491.75
8806,454.191
8807,440.373
8808,435.291
8809,433.421
8810,432.733
8811,432.48
8812,432.386
8813,432.352
8814,432.339
8815,432.335
8816,432.334
8817,432.333
8818,432.332
8819,313.2
8820,313.2
8821,313.2
8822,313.2
8823,312.632
8824,312.632
8825,312.632
8826,312.632
8827,312.632
8828,312.632
8829,312.632
8830,312.632
8831,312.632
8832,312.632
8833,105.072
8834,105.072
8835,105.072
8836,105.072
8837,105.072
8838,105.072
8839,105.072
8840,105.072
8841,105.072
8842,105.072
8843,105.072
8844,105.072
8845,105.072
8846,105.072
8847,105.072
8848,105.072
8849,105.072
8850,105.072
8851,105.072
8852,105.072
8853,105.072
8854,105.072
8855,105.072
8856,105.072
8857,280.904
8858,246.31
8859,233.584
8860,228.903
8861,227.18
8862,226.547
8863,226.314
8864,226.228
8865,226.196
8866,226.185
8867,226.18
8868,226.179
8869,105.072
8870,105.072
8871,105.072
8872,105.072
8873,105.072
8874,105.072
8875,105.072
8876,105.072
8877,105.072
8878,105.072
8879,105.072
8880,105.072
8881,105.072
8882,105.072
8883,105.072
8884,105.072
8885,105.072
8886,105.072
8887,105.072
8888,105.072
8889,105.072
8890,105.072
8891,105.072
8892,105.072
8893,105.072
8894,105.072
8895,105.072
8896,105.072
8897,105.072
8898,105.072
8899,272.822
8900,242.023
8901,230.693
8902,226.525
8903,224.991
8904,224.427
8905,224.22
8906,224.143
8907,224.115
8908,224.105
8909,224.101
8910,224.1
8911,625.594
8912,502.081
8913,456.643
8914,439.927
8915,433.778
8916,312.488
8917,311.656
8918,311.35
8919,311.237
8920,311.196
8921,311.181
8922,311.175
8923,311.173
8924,311.172
8925,311.172
8926,311.172
8927,311.172
8928,311.172
8929,311.172
8930,311.172
8931,311.172
8932,311.172
8933,311.172
8934,311.172
8935,311.172
8936,311.172
8937,311.172
8938,311.172
8939,311.172
8940,311.172
8941,105.072
8942,105.072
8943,105.072
8944,105.072
8945,105.072
8946,105.072
8947,105.072
8948,105.072
8949,105.072
8950,242.261
8951,230.826
8952,226.62
8953,225.072
8954,224.503
8955,224.294
8956,224.216
8957,224.188
8958,224.178
8959,224.174
8960,224.172
8961,224.172
8962,224.172
8963,224.172
8964,105.072
8965,105.072
8966,105.072
8967,105.072
8968,105.072
8969,105.072
8970,105.072
8971,105.072
8972,105.072
8973,105.072
8974,105.072
8975,105.072
8976,105.072
8977,105.072
8978,105.072
8979,105.072
8980,105.072
8981,105.072
8982,105.072
8983,105.072
8984,105.072
8985,105.072
8986,105.072
8987,105.072
8988,105.072
8989,105.072
8990,105.072
8991,105.072
8992,105.072
8993,105.072
8994,341.171
8995,266.697
8996,239.299
8997,229.22
8998,225.512
8999,224.148
9000,223.646
9001,223.462
9002,223.394
9003,223.369
9004,223.359
9005,223.356
9006,223.355
9007,223.354
9008,637.16
9009,509.491
9010,344.242
9011,326.964
9012,320.607
9013,318.269
9014,317.409
9015,317.092
9016,316.976
9017,316.933
9018,316.917
9019,316.911
9020,316.909
9021,316.909
9022,316.908
9023,316.908
9024,316.908
9025,316.908
9026,316.908
9027,316.908
9028,316.908
9029,316.908
